State,County,Higher Education,HPI,Income,Unemployment,Poor physical health days,Poor mental health days,Violent crime,Severe housing problems,Income inequality,Access to exercise opportunities
AL,Autauga,56.82586964204574,2.64,56954,5.1,4.4,4.3,253.64461706,0.136192626,4.3034811068,0.708214986
AL,Baldwin,63.63866474869889,5.2,210004,5.4,4.1,4.2,220.66510634,0.1470790378,4.4948004948,0.721685458
AL,Barbour,38.99416504584607,-0.68,26217,8.4,4.9,4.7,146.8885763,0.175596817,5.285566706,0.4526714499
AL,Bibb,36.61954287849536,3.95,22654,6.5,4.8,4.6,235.95211046,0.1299932295,4.2513612624,0.3283875191
AL,Blount,48.524638536441415,1.66,58238,5.4,4.6,4.5,219.03434424,0.1233951498,4.1241856269,0.2550853076
AL,Butler,40.361625821876856,-1.31,19760,6.9,5.3,5.1,483.03787782,0.1858895706,5.0366626433,0.4600658806
AL,Calhoun,50.59990281948096,3.36,116810,6.6,4.9,4.9,504.5156397,0.1453075494,5.1055860923,0.5928549742
AL,Chambers,46.54825197357822,7.18,34881,5.5,5.1,4.9,553.4591195,0.1745507884,5.0824795082,0.611632325
AL,Cherokee,42.888912996311575,-0.83,24973,5.1,4.6,4.7,374.36913052,0.1296768707,5.1231888941,0.3294855516
AL,Chilton,38.81574638108338,3.04,44251,5.5,4.6,4.6,407.39699165,0.1635471003,4.5140992027,0.3232820842
AL,Choctaw,43.12035341019287,6.7,13183,8.5,4.9,4.8,110.93580515,0.1328934967,6.0423455333,0.2010967602
AL,Clarke,40.79537771221342,-0.2,24164,10.9,5.3,4.9,464.11856474,0.1475321888,7.1719495091,0.381411373
AL,Clay,44.75875213160799,14.76,14062,6.0,5.0,4.8,313.03017993,0.1691368788,4.9509643004,0.2126040769
AL,Cleburne,45.57249739558671,3.81,14919,6.0,4.3,4.4,224.32785348,0.1403985507,5.2669029626,0.4015495592
AL,Coffee,58.404999585211385,1.23,51501,5.9,4.8,4.6,363.90150134,0.1284210526,5.3175026384,0.7079362537
AL,Colbert,49.05422134191631,1.45,55595,7.0,4.8,4.8,372.90432044,0.1417676088,4.7586206897,0.4425295804
AL,Conecuh,39.0998268897865,-17.15,12308,8.4,5.8,5.3,612.84375081,0.1875,5.5109884971,0.0012851527
AL,Coosa,43.331292100428655,0.0,10651,6.0,5.1,4.9,290.91692706,0.1683060109,4.5665114248,0.2448219083
AL,Covington,47.193520305817344,1.67,37749,6.8,4.8,4.8,242.1817416,0.1647651007,4.6906154629,0.5115053621
AL,Crenshaw,39.403081564486584,7.75,13590,5.9,4.9,4.7,441.5302858,0.1247787611,5.1078038674,0.3558895441
AL,Cullman,51.81216254148572,1.69,84554,5.0,4.5,4.7,201.19144998,0.1427201534,4.6725848876,0.381339701
AL,Dale,53.96952925072903,-6.27,49655,5.8,4.5,4.6,395.76432401,0.1185619582,5.1003653025,0.4796720463
AL,Dallas,47.665184847448614,0.65,41526,9.2,6.0,5.4,781.8388057,0.2394932015,6.653487429,0.5883386581
AL,DeKalb,44.71689516630079,-0.05,71131,6.1,4.8,4.7,243.42882873,0.1405088063,4.4018512805,0.4024806986
AL,Elmore,55.59199628967071,1.47,84840,4.8,4.2,4.3,178.7265317,0.1236454077,3.9554530236,0.6806299888
AL,Escambia,37.99191165033443,2.43,37759,6.7,5.2,5.0,564.87355523,0.1408501441,5.4861698666,0.5611576503
AL,Etowah,52.44494059924474,1.28,103603,5.9,5.0,5.1,497.87069047,0.1413954635,4.7107325804,0.4396916595
AL,Fayette,42.03339711254131,11.14,16630,6.8,4.9,4.7,173.67964001,0.1072931276,5.2733071275,0.2744040369
AL,Franklin,37.306378398614825,-1.37,32029,5.9,5.1,4.8,380.01600067,0.1446364002,4.6492772245,0.5883800151
AL,Geneva,45.92856383544169,5.94,26670,5.8,4.9,4.8,320.10719869,0.1279016841,4.8312378483,0.2742814483
AL,Hale,42.19028741328047,12.56,14927,7.7,5.6,5.1,169.63799891,0.2020117351,5.6,0.5830583756
AL,Henry,49.09850844123915,4.98,17036,6.5,4.4,4.4,318.19663018,0.1245474294,5.4749935716,0.3151658768
AL,Houston,55.62881496485814,1.15,104766,5.8,4.7,4.5,442.1942038,0.1351665376,5.0315248834,0.5347671522
AL,Jackson,44.15656739770347,0.18,52657,6.3,4.9,4.7,273.54559623,0.0969568294,4.7599692761,0.3656602852
AL,Jefferson,64.55528220191802,4.06,671814,5.7,4.5,4.5,717.39617901,0.1800351006,5.4680513894,0.776535159
AL,Lamar,40.7318053880177,24.92,14042,5.7,5.0,4.8,49.735336957,0.1253071253,4.2877155172,0.2168360341
AL,Lauderdale,53.613390525923165,3.55,92709,6.4,4.5,4.6,179.55830807,0.1505221932,5.1402109912,0.6265734718
AL,Lawrence,41.9105987228389,0.08,33338,6.9,4.7,4.6,194.21076259,0.1026785714,4.5291537813,0.4887736975
AL,Lee,69.32377457255839,3.97,164008,5.2,4.5,4.5,218.24356264,0.1944896116,6.2421467718,0.6272433635
AL,Limestone,59.21091538883961,2.23,94095,5.3,4.4,4.4,123.57255815,0.1207311207,4.772889809,0.5280737358
AL,Lowndes,41.59810347231907,-3.59,10670,10.6,5.7,5.2,554.47233731,0.2482352941,5.5776660492,0.0154880963
AL,Macon,53.48911396443098,-0.53,20097,7.6,5.6,5.2,625.44730373,0.1982705374,5.578916618,0.4785567779
AL,Madison,72.79819081013785,2.53,362995,5.1,4.2,4.3,542.894619,0.1269569192,5.0820499658,0.8221324867
AL,Marengo,50.91229684145967,-6.08,19881,7.2,5.5,5.1,402.99274292,0.1532634033,6.6100510615,0.5462500594
AL,Marion,45.760533206379435,2.4,29714,6.6,5.0,4.9,225.98014835,0.1155206287,4.482089162,0.4915843514
AL,Marshall,52.35646561042651,3.12,95535,5.3,4.9,4.8,227.86064175,0.1322866696,4.7774688677,0.6470506026
AL,Mobile,53.61245896960182,1.93,416297,6.6,4.9,5.0,597.08341216,0.1779996173,5.2625314033,0.6947374283
AL,Monroe,37.65774861181221,8.03,21087,9.1,5.3,5.1,540.43172597,0.1504882252,7.2168625447,0.5344633258
AL,Montgomery,61.906291798893236,-0.14,229845,5.7,4.9,4.7,367.49740904,0.1889014085,5.5435538018,0.758291442
AL,Morgan,53.53317289543223,0.03,121225,5.5,4.5,4.5,232.78424401,0.1254884933,4.5841739748,0.7123776048
AL,Pickens,40.92539454806312,4.19,19885,6.9,5.1,5.0,225.53236127,0.1527431421,5.8962936565,0.0127114352
AL,Pike,51.02840352595494,-0.44,33564,6.5,5.1,5.1,440.39069523,0.1813631113,6.1753526971,0.602693091
AL,Randolph,45.85631773638782,0.87,21952,5.6,5.0,4.7,307.52317566,0.1727272727,4.9418249534,0.269235805
AL,Russell,55.733019080811374,-3.63,58919,5.6,5.1,4.9,457.74493121,0.1607270988,5.0351771768,0.7179632463
AL,St. Clair,50.85443137749472,1.23,87730,5.2,4.3,4.3,183.49351035,0.1223764934,4.1795177409,0.6813728422
AL,Shelby,73.81050095318788,3.52,212960,4.3,3.6,3.8,176.94176574,0.1068251273,4.1534352918,0.7348745419
AL,Sumter,53.73250388802488,-4.4,13024,7.7,5.8,5.5,437.39343169,0.2175226586,6.1855175292,0.1963961346
AL,Talladega,48.32383243554207,-1.11,81909,6.6,5.2,4.9,301.65607159,0.1606718428,4.8818339794,0.6611901666
AL,Tallapoosa,49.99321113374066,4.94,41299,5.6,5.0,4.7,423.05314198,0.1652386781,4.8356232515,0.6557814302
AL,Tuscaloosa,59.864153627311524,2.77,216498,5.7,4.5,4.5,432.29772274,0.1815371025,5.0516308802,0.7571202532
AL,Walker,47.73819496494863,3.65,65802,7.5,5.0,5.0,297.1213569,0.1081652257,4.585709867,0.4750309595
AL,Washington,43.64324623765118,-2.76,16179,8.6,4.7,4.6,290.53758949,0.1262135922,4.5810083211,0.1046584381
AL,Wilcox,40.01956947162426,19.86,11066,14.5,6.0,5.4,215.53582205,0.1972413793,6.5682342093,0.2585261354
AL,Winston,40.58533145275035,1.79,23911,7.1,5.1,4.9,217.65450069,0.1304347826,4.7584953153,0.7649485378
AK,Anchorage Munic,70.44104866743916,1.31,300301,5.3,3.0,2.8,823.15603588,0.1619674928,3.8018483793,0.8858566406
AK,Fairbanks North Star ,68.87827461976102,2.43,100639,5.6,3.2,2.7,0.0,0.2252378288,3.827792634,0.6487123518
AK,Juneau City and ,74.4162614447803,2.7,32670,4.3,2.8,2.8,425.49632526,0.1509127789,3.2683075481,1.0
AK,Kodiak Island ,62.33299651959133,0.04,13742,4.9,3.0,2.6,0.0,0.1968680089,3.8715350921,0.9861683343
AK,Matanuska-Susitna ,60.70978279557568,3.64,102659,7.9,3.2,3.0,0.0,0.1953112369,4.1721181746,0.3791448958
AZ,Apache,51.137812190170436,1.91,67688,11.6,5.7,5.3,94.218863759,0.3598634095,6.3180513017,0.2213848262
AZ,Cochise,64.3106307542746,0.75,124559,6.3,4.1,3.9,607.58200422,0.1535960991,5.0975771656,0.7280313066
AZ,Coconino,69.68955196176246,5.9,142091,6.1,3.8,4.0,376.42234046,0.2647637795,5.2030497167,0.8172904531
AZ,Gila,58.45719230377685,6.38,52763,7.3,4.3,4.1,338.94041401,0.1859718449,4.3168244309,0.8179562289
AZ,Graham,53.826000166347825,-1.27,37480,6.8,4.1,3.8,879.13658781,0.1818181818,4.4935504676,0.4328318109
AZ,Maricopa,66.81893370049528,8.16,4174844,4.7,3.5,3.4,398.4543444,0.2001747317,4.597791527,0.9302020347
AZ,Mohave,53.1434818122079,6.06,203940,6.7,4.1,4.0,193.33130404,0.1868583162,3.9708171206,0.6467685053
AZ,Navajo,55.05209977897063,5.55,105331,8.4,4.7,4.6,375.08961842,0.2673167933,5.6052431611,0.4694506231
AZ,Pima,67.95183100525105,5.08,1007258,5.0,3.5,3.7,446.62246384,0.2033096927,4.8010422579,0.8576218831
AZ,Pinal,57.13169246730554,7.12,389329,5.6,3.9,3.6,214.75643144,0.1756894375,3.7899879993,0.6972882348
AZ,Santa Cruz,51.68143341787161,4.13,46889,10.2,4.1,3.8,127.71392082,0.2306034483,5.2637027206,0.3924293547
AZ,Yavapai,66.40070774930193,7.53,222867,5.0,3.6,3.6,332.10586089,0.201052978,4.1590288316,0.8958930594
AR,Arkansas,44.81147814481148,-0.46,18026,3.4,4.6,4.2,411.22738249,0.1044402752,4.2875798986,0.4840948525
AR,Ashley,34.30020132726866,1.77,20298,6.1,5.1,4.5,275.72549318,0.0991452991,4.7185430464,0.4385210269
AR,Baxter,53.94404446128584,4.6,40810,4.3,4.7,4.2,99.972807396,0.1367521368,4.1736462094,0.7202803941
AR,Benton,60.35323709536307,6.13,258172,2.9,4.0,3.9,270.48874055,0.1287171295,4.0681137725,0.8257966287
AR,Boone,55.29312848735,-0.14,37143,3.7,4.5,4.3,293.24186118,0.1155932203,4.014993007,0.4802319595
AR,Bradley,41.22190042752723,20.68,10872,5.0,5.6,4.7,263.93228772,0.156504065,5.5843809524,0.6425964546
AR,Carroll,50.0426471326075,-1.1,27687,3.6,4.6,4.2,240.58223318,0.16040654,3.9666647865,0.4558769948
AR,Chicot,40.08996345234749,-9.68,11075,6.6,5.6,4.8,494.63092923,0.170031881,5.9856344773,0.0950847458
AR,Clark,58.50852836176121,-0.42,22178,4.3,4.7,4.4,390.68717533,0.1700429711,5.3060889428,0.654577082
AR,Clay,41.48062240262878,15.85,15144,5.7,4.8,4.4,87.105304091,0.1080291971,4.1703708708,0.1557545234
AR,Cleburne,45.84638651831047,1.25,25005,5.9,4.4,4.1,221.41165931,0.1198465964,4.6374265535,0.4797073546
AR,Cleveland,43.988428855541486,-3.33,7989,4.5,4.3,4.0,68.83628437,0.1238670695,4.5791959578,0.0
AR,Columbia,47.235072236851465,5.4,23644,5.7,4.9,4.4,323.91846471,0.1489473684,6.115243275,0.5266373412
AR,Conway,47.1385856338224,3.33,20690,5.7,4.7,4.2,262.26232477,0.1609963548,5.1789248125,0.2575565271
AR,Craighead,56.828849780903894,2.26,105655,3.3,4.6,4.3,368.58155215,0.1591487083,5.0159272559,0.5895814108
AR,Crawford,50.786852345872404,2.37,60314,3.9,4.6,4.3,354.33999485,0.1471535983,4.0739541012,0.63774456
AR,Crittenden,49.05556455532156,-0.18,49581,4.5,5.2,4.6,1764.4827541,0.2015086207,5.127091785,0.6330399591
AR,Cross,40.02724099770155,3.73,17425,4.4,4.9,4.4,331.32922584,0.1339220015,4.7539572157,0.3860660325
AR,Desha,36.69772256728779,3.09,12047,5.5,5.5,4.6,830.78582989,0.1361502347,5.9966066301,0.3385608856
